,0
21,"
SNSで違反な書き込みしたから利用停止って、SNS利用してない書き込みしたことないのにどうやってすんの？人を貶めようとする適当ななりすましでなりすました人間が通報とかするのをそのまま信じる何を考えてるかわからない運営。売上金没収したいがために信じたふりをするのか定かではない。個人情報保護法違反とかの被害にあったそうだけど、被害者だけを神になったような気分で罰するレベル低すぎる運営。
"
22,"
どのような内容でもトラブルがあると「迷惑行為」と断じて来ます。
そして、一週間や果てには永久制限すると伝えて来ます。
悪いユーザーを追い出したいと言う考えは理解出来ますが、数千と取引する内に幾つかミスをしたと言うだけでも、そのような判定がなされ、一方的な退会が近付くこととなります。
トラブルが起きた際、相手に迷惑をかけないよう、運営にすぐ相談するようにし、取引ではほぼすべて良い評価を得ていましたが、運営には悪いユーザーだと判断されていたと言うのはショックでした。
運営に相談せずに、あえて悪い評価を受けてやり過ごす方が将来的には安全なのかもしれません。
これを企業に置き換えますと、入社当初からミスや事故を上司に報告してい、それが10回以上になると何であれクビにされると言うのに等しい気がします。
悪い評価が20以上ついているような人でもずっと続けられているようですので、真面目な方が損をするようで哀しいです。
"
23,"
海外製品の電動ガンは売れません
製品保証書もついてますし法律に触れるものでも
無いのに禁止です
しかも、きづかず出品してしまい
出品削除され、それはいいのですが
新しい商品（電動ガンではない)
を出品しようとしたら出品停止になっていました、
よく分からない
"
24,"
トラブル発生時の能力の低さが目立つ、トラブルの内容把握せずに、一方的にきめゆけておわらせようとする、スタッフの能力向上教育臨むところです、システムや運営が向上途中とおもわれます、
"
25,"
禁止行為を全く取り締まらない。プロフィールやイラスト 画像 夢絵にツイッターやインスタのアドレス、QRコードを載せていると通報しても全く削除しない。やる気がない。杜撰。自ら禁止行為として載せているのに何なのか。意味が分からない。信用できない。
"
26,"
スマート払いは決済方法としては変動が激しく全く使い者になりません。笑
他の決済方法使っているのでもう上げたり下げたりしなくていいです。笑
メルペイで商品購入したらだいたい10回買えば3回ぐらいハズレひきます。写真掲載内容と全然違う劣化した商品を送られてきます。笑
でも、悪い評価つけてこちらにも悪い評価つけられるのやなので大抵泣き寝入りしてます。笑
安い商品しか買わないですけどね、サポート体制の悪さ、民度の低さでとても高額商品は安心して買えるマーケットになっていません。笑
まぁ所詮はこの程度のレベルだと認識して購入だけのために利用してます。なんの期待もしていません。笑
"
27,"
『いいね』は付くが値下げ待ちなので全く売れない。出品時が一番閲覧されるので『いいね』付いても再出品しています。
その為、毎日のようにポイント当選通知が来ます。『おめでとうございます P1当選しました！』
‥‥P1→1円です。ナメてますよね。（3月4等1円　1月4等5円）
次の日『明日にP1の有効期限が切れます』
ただでさえ通知が多いのにウザいだけです。
"
28,"
嘘の発送通知をされたので悪い評価にそのことを書いたのに消されてた。
そんな簡単に非表示にしてたら評価の意味ないし、嘘の発送通知を運営が許したことになる。
それじゃルール守らなくても運営に文句言ったもん勝ちじゃん。
"
29,"
利用したきっかけ

最初は、手数料低めで良かったが、今では高くなり全部購入者の着払いにした方が、出品者はやっていけるけど、前提では送料込み

他のフリマサイトの方が手数料が安くやれるので､変更した方が良い

メルカリは、買う時専用にしてヤフオクで出品するが良い

また改正でどうなるか通常に売ってる商品は、違反とされる事が多くなってきました｡
"
30,"
ログインに関する相談を問い合わせしましたが、マニアル文章を何度も送ってきているだけで実際に困っている事に対応しようという姿勢が皆無のように感じました。金銭が絡む取引をするのにこういった姿勢では、万一何かトラブルがあった際に大きな不安があり、メルカリを使用するのをやめました。私としては、メルカリ以外のアプリをお勧めします。
"
